"region","age","2016"
"1482 Kungälv","18-29 years",411.7
"1482 Kungälv","30-49 years",604.7
"1482 Kungälv","50-64 years",645.0
"1484 Lysekil","18-29 years",323.6
"1484 Lysekil","30-49 years",486.0
"1484 Lysekil","50-64 years",502.7
"1485 Uddevalla","18-29 years",318.1
"1485 Uddevalla","30-49 years",482.3
"1485 Uddevalla","50-64 years",532.3
"1486 Strömstad","18-29 years",338.5
"1486 Strömstad","30-49 years",462.8
"1486 Strömstad","50-64 years",484.8
"1487 Vänersborg","18-29 years",308.7
"1487 Vänersborg","30-49 years",465.0
"1487 Vänersborg","50-64 years",485.5
"1488 Trollhättan","18-29 years",302.0
"1488 Trollhättan","30-49 years",483.8
"1488 Trollhättan","50-64 years",502.3
"1489 Alingsås","18-29 years",349.2
"1489 Alingsås","30-49 years",537.8
"1489 Alingsås","50-64 years",581.8
"1490 Borås","18-29 years",317.5
"1490 Borås","30-49 years",517.7
"1490 Borås","50-64 years",579.2
"1491 Ulricehamn","18-29 years",355.5
"1491 Ulricehamn","30-49 years",544.8
"1491 Ulricehamn","50-64 years",521.1
"1492 Åmål","18-29 years",279.7
"1492 Åmål","30-49 years",418.2
"1492 Åmål","50-64 years",427.3
"1493 Mariestad","18-29 years",317.8
"1493 Mariestad","30-49 years",470.9
"1493 Mariestad","50-64 years",484.0
"1494 Lidköping","18-29 years",319.6
"1494 Lidköping","30-49 years",501.2
"1494 Lidköping","50-64 years",546.3
"1495 Skara","18-29 years",293.3
"1495 Skara","30-49 years",488.5
"1495 Skara","50-64 years",621.5
"1496 Skövde","18-29 years",307.7
"1496 Skövde","30-49 years",509.8
"1496 Skövde","50-64 years",530.7
"1497 Hjo","18-29 years",315.1
"1497 Hjo","30-49 years",478.3
"1497 Hjo","50-64 years",501.6
"1498 Tidaholm","18-29 years",325.3
"1498 Tidaholm","30-49 years",459.3
"1498 Tidaholm","50-64 years",478.9
"1499 Falköping","18-29 years",308.2
"1499 Falköping","30-49 years",491.1
"1499 Falköping","50-64 years",486.8
"1715 Kil","18-29 years",322.2
"1715 Kil","30-49 years",471.1
"1715 Kil","50-64 years",480.7
"1730 Eda","18-29 years",292.8
"1730 Eda","30-49 years",407.5
"1730 Eda","50-64 years",395.4
"1737 Torsby","18-29 years",302.1
"1737 Torsby","30-49 years",414.5
"1737 Torsby","50-64 years",427.1
"1760 Storfors","18-29 years",309.2
"1760 Storfors","30-49 years",426.2
"1760 Storfors","50-64 years",423.9
"1761 Hammarö","18-29 years",337.1
"1761 Hammarö","30-49 years",599.6
"1761 Hammarö","50-64 years",566.3
"1762 Munkfors","18-29 years",286.6
"1762 Munkfors","30-49 years",397.4
"1762 Munkfors","50-64 years",392.2
"1763 Forshaga","18-29 years",323.6
"1763 Forshaga","30-49 years",470.3
"1763 Forshaga","50-64 years",445.4
"1764 Grums","18-29 years",292.1
"1764 Grums","30-49 years",429.1
"1764 Grums","50-64 years",454.2
"1765 Årjäng","18-29 years",273.0
"1765 Årjäng","30-49 years",399.2
"1765 Årjäng","50-64 years",396.7
"1766 Sunne","18-29 years",302.7
"1766 Sunne","30-49 years",438.1
"1766 Sunne","50-64 years",463.2
"1780 Karlstad","18-29 years",267.9
"1780 Karlstad","30-49 years",475.7
"1780 Karlstad","50-64 years",521.5
"1781 Kristinehamn","18-29 years",267.0
"1781 Kristinehamn","30-49 years",438.2
"1781 Kristinehamn","50-64 years",457.3
"1782 Filipstad","18-29 years",270.5
"1782 Filipstad","30-49 years",393.0
"1782 Filipstad","50-64 years",390.9
"1783 Hagfors","18-29 years",295.5
"1783 Hagfors","30-49 years",404.3
"1783 Hagfors","50-64 years",414.6
"1784 Arvika","18-29 years",294.2
"1784 Arvika","30-49 years",439.7
"1784 Arvika","50-64 years",443.2
"1785 Säffle","18-29 years",287.2
"1785 Säffle","30-49 years",409.6
"1785 Säffle","50-64 years",452.1
"1814 Lekeberg","18-29 years",345.0
"1814 Lekeberg","30-49 years",529.7
"1814 Lekeberg","50-64 years",499.9
"1860 Laxå","18-29 years",297.4
"1860 Laxå","30-49 years",439.4
"1860 Laxå","50-64 years",434.7
"1861 Hallsberg","18-29 years",322.1
"1861 Hallsberg","30-49 years",462.9
"1861 Hallsberg","50-64 years",475.5
"1862 Degerfors","18-29 years",283.8
"1862 Degerfors","30-49 years",434.8
"1862 Degerfors","50-64 years",427.9
"1863 Hällefors","18-29 years",261.2
"1863 Hällefors","30-49 years",403.4
"1863 Hällefors","50-64 years",417.8
"1864 Ljusnarsberg","18-29 years",286.1
"1864 Ljusnarsberg","30-49 years",402.9
"1864 Ljusnarsberg","50-64 years",371.2
"1880 Örebro","18-29 years",282.0
"1880 Örebro","30-49 years",490.3
"1880 Örebro","50-64 years",518.9
"1881 Kumla","18-29 years",327.6
"1881 Kumla","30-49 years",497.4
"1881 Kumla","50-64 years",535.3
"1882 Askersund","18-29 years",332.3
"1882 Askersund","30-49 years",471.8
"1882 Askersund","50-64 years",490.7
"1883 Karlskoga","18-29 years",283.5
"1883 Karlskoga","30-49 years",448.7
"1883 Karlskoga","50-64 years",481.0
"1884 Nora","18-29 years",307.4
